,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
374,"רמב""ם",מאיר,וולפסון,סוראסקי,שמיר,רבין ק. בילינסון,שיבא,הלל יפה,רבין ק. השרון,קפלן,לניאדו,המרכזי בעמק,בני ציון,שערי צדק,הכרמל,סורוקה,מעייני הישועה,יוספטל,מ.ר. צפון (פוריה),ברזילי,נצרת,נהריה,זיו צפת,הדסה,אסותא אשדוד
375,סוראסקי,שמיר,רבין ק. בילינסון,מאיר,יוספטל,וולפסון,רבין ק. השרון,הלל יפה,הדסה,שיבא,"רמב""ם",הכרמל,אסותא אשדוד,בני ציון,סורוקה,קפלן,המרכזי בעמק,מעייני הישועה,זיו צפת,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),שערי צדק
376,סורוקה,מאיר,בני ציון,רבין ק. בילינסון,סוראסקי,הלל יפה,קפלן,רבין ק. השרון,"רמב""ם",יוספטל,שמיר,הכרמל,הדסה,מעייני הישועה,שערי צדק,וולפסון,המרכזי בעמק,אסותא אשדוד,לניאדו,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,זיו צפת,שיבא
377,רבין ק. בילינסון,הלל יפה,רבין ק. השרון,מאיר,קפלן,אסותא אשדוד,שמיר,וולפסון,"רמב""ם",הדסה,סורוקה,בני ציון,הכרמל,המרכזי בעמק,שערי צדק,יוספטל,שיבא,מעייני הישועה,לניאדו,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,סוראסקי
378,וולפסון,מאיר,"רמב""ם",יוספטל,שמיר,סוראסקי,הדסה,הלל יפה,רבין ק. השרון,קפלן,סורוקה,הכרמל,שערי צדק,לניאדו,המרכזי בעמק,בני ציון,אסותא אשדוד,מעייני הישועה,ברזילי,זיו צפת,נצרת,מ.ר. צפון (פוריה),נהריה,שיבא,רבין ק. בילינסון
379,הדסה,סוראסקי,מאיר,הכרמל,וולפסון,רבין ק. בילינסון,שיבא,שמיר,רבין ק. השרון,קפלן,אסותא אשדוד,מעייני הישועה,הלל יפה,סורוקה,שערי צדק,"רמב""ם",המרכזי בעמק,יוספטל,ברזילי,לניאדו,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,בני ציון
380,סוראסקי,בני ציון,הדסה,שמיר,שיבא,מאיר,שערי צדק,אסותא אשדוד,הכרמל,קפלן,לניאדו,המרכזי בעמק,וולפסון,סורוקה,מעייני הישועה,הלל יפה,יוספטל,"רמב""ם",נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון,רבין ק. בילינסון
381,סוראסקי,לניאדו,רבין ק. בילינסון,מאיר,רבין ק. השרון,קפלן,שיבא,וולפסון,שמיר,הדסה,הכרמל,סורוקה,"רמב""ם",אסותא אשדוד,שערי צדק,הלל יפה,המרכזי בעמק,יוספטל,מעייני הישועה,ברזילי,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,בני ציון
382,מאיר,הדסה,רבין ק. בילינסון,רבין ק. השרון,קפלן,שערי צדק,אסותא אשדוד,וולפסון,הלל יפה,הכרמל,ברזילי,המרכזי בעמק,מעייני הישועה,יוספטל,בני ציון,סורוקה,לניאדו,"רמב""ם",נצרת,זיו צפת,נהריה,מ.ר. צפון (פוריה),סוראסקי,שמיר,שיבא
383,בני ציון,שיבא,רבין ק. בילינסון,שמיר,מאיר,"רמב""ם",קפלן,נהריה,סורוקה,רבין ק. השרון,וולפסון,שערי צדק,המרכזי בעמק,הכרמל,הלל יפה,יוספטל,לניאדו,מעייני הישועה,ברזילי,מ.ר. צפון (פוריה),נצרת,זיו צפת,אסותא אשדוד,הדסה,סוראסקי
384,יוספטל,מאיר,סוראסקי,וולפסון,קפלן,רבין ק. בילינסון,רבין ק. השרון,זיו צפת,בני ציון,שיבא,אסותא אשדוד,"רמב""ם",מעייני הישועה,שערי צדק,המרכזי בעמק,הדסה,שמיר,סורוקה,הלל יפה,לניאדו,ברזילי,נהריה,מ.ר. צפון (פוריה),נצרת,הכרמל
385,מאיר,הדסה,רבין ק. בילינסון,קפלן,וולפסון,סוראסקי,רבין ק. השרון,אסותא אשדוד,הכרמל,שיבא,שערי צדק,"רמב""ם",שמיר,סורוקה,הלל יפה,מעייני הישועה,בני ציון,יוספטל,המרכזי בעמק,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,לניאדו
386,סוראסקי,"רמב""ם",וולפסון,יוספטל,רבין ק. השרון,שמיר,שיבא,לניאדו,הדסה,מעייני הישועה,שערי צדק,הכרמל,קפלן,בני ציון,המרכזי בעמק,אסותא אשדוד,סורוקה,הלל יפה,נהריה,נצרת,ברזילי,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון,מאיר
387,אסותא אשדוד,הדסה,רבין ק. בילינסון,קפלן,מאיר,וולפסון,סורוקה,הכרמל,שיבא,רבין ק. השרון,בני ציון,מעייני הישועה,"רמב""ם",המרכזי בעמק,ברזילי,שערי צדק,יוספטל,לניאדו,הלל יפה,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,שמיר,סוראסקי
388,שיבא,וולפסון,שמיר,רבין ק. השרון,סוראסקי,מאיר,קפלן,בני ציון,המרכזי בעמק,"רמב""ם",אסותא אשדוד,מעייני הישועה,יוספטל,הכרמל,שערי צדק,סורוקה,לניאדו,נהריה,רבין ק. בילינסון,הלל יפה,נצרת,ברזילי,מ.ר. צפון (פוריה),זיו צפת,הדסה
389,המרכזי בעמק,"רמב""ם",אסותא אשדוד,וולפסון,מעייני הישועה,רבין ק. בילינסון,שמיר,סוראסקי,הלל יפה,הכרמל,לניאדו,שיבא,סורוקה,קפלן,יוספטל,שערי צדק,בני ציון,הדסה,נהריה,ברזילי,נצרת,מאיר,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון
390,וולפסון,"רמב""ם",מאיר,שיבא,שערי צדק,קפלן,רבין ק. בילינסון,שמיר,הכרמל,אסותא אשדוד,סורוקה,לניאדו,יוספטל,מעייני הישועה,בני ציון,המרכזי בעמק,נהריה,הלל יפה,הדסה,ברזילי,נצרת,זיו צפת,מ.ר. צפון (פוריה),רבין ק. השרון,סוראסקי
391,אסותא אשדוד,וולפסון,מעייני הישועה,מאיר,שמיר,הלל יפה,קפלן,רבין ק. בילינסון,הדסה,רבין ק. השרון,שיבא,הכרמל,סורוקה,לניאדו,יוספטל,המרכזי בעמק,נהריה,בני ציון,מ.ר. צפון (פוריה),נצרת,ברזילי,זיו צפת,שערי צדק,"רמב""ם",סוראסקי
392,שערי צדק,מאיר,סוראסקי,רבין ק. בילינסון,בני ציון,נצרת,וולפסון,רבין ק. השרון,שמיר,לניאדו,שיבא,"רמב""ם",מעייני הישועה,הכרמל,אסותא אשדוד,סורוקה,הדסה,יוספטל,המרכזי בעמק,ברזילי,זיו צפת,מ.ר. צפון (פוריה),נהריה,הלל יפה,קפלן
393,רבין ק. בילינסון,הלל יפה,אסותא אשדוד,"רמב""ם",שיבא,סוראסקי,הכרמל,יוספטל,וולפסון,שמיר,הדסה,בני ציון,מעייני הישועה,ברזילי,שערי צדק,סורוקה,רבין ק. השרון,לניאדו,קפלן,המרכזי בעמק,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,מאיר
394,"רמב""ם",וולפסון,מאיר,שיבא,שמיר,רבין ק. השרון,יוספטל,רבין ק. בילינסון,לניאדו,קפלן,סוראסקי,בני ציון,הדסה,הכרמל,המרכזי בעמק,אסותא אשדוד,שערי צדק,מעייני הישועה,סורוקה,ברזילי,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,הלל יפה
395,וולפסון,רבין ק. השרון,שיבא,קפלן,שערי צדק,רבין ק. בילינסון,סוראסקי,לניאדו,אסותא אשדוד,שמיר,הדסה,ברזילי,"רמב""ם",נהריה,הלל יפה,המרכזי בעמק,יוספטל,סורוקה,מעייני הישועה,הכרמל,נצרת,מ.ר. צפון (פוריה),זיו צפת,בני ציון,מאיר
396,סוראסקי,קפלן,מאיר,רבין ק. השרון,וולפסון,רבין ק. בילינסון,הכרמל,אסותא אשדוד,מעייני הישועה,שיבא,ברזילי,בני ציון,סורוקה,שערי צדק,הלל יפה,המרכזי בעמק,מ.ר. צפון (פוריה),לניאדו,יוספטל,נצרת,נהריה,הדסה,זיו צפת,שמיר,"רמב""ם"
397,המרכזי בעמק,הדסה,קפלן,שמיר,מאיר,רבין ק. בילינסון,שיבא,אסותא אשדוד,רבין ק. השרון,וולפסון,סורוקה,"רמב""ם",הלל יפה,הכרמל,שערי צדק,בני ציון,מעייני הישועה,יוספטל,נצרת,לניאדו,ברזילי,זיו צפת,נהריה,מ.ר. צפון (פוריה),סוראסקי
398,רבין ק. השרון,מאיר,שיבא,שמיר,קפלן,רבין ק. בילינסון,וולפסון,הלל יפה,הכרמל,סורוקה,הדסה,ברזילי,"רמב""ם",שערי צדק,בני ציון,המרכזי בעמק,מעייני הישועה,לניאדו,נהריה,יוספטל,נצרת,מ.ר. צפון (פוריה),זיו צפת,אסותא אשדוד,סוראסקי
399,סוראסקי,שיבא,רבין ק. בילינסון,רבין ק. השרון,קפלן,סורוקה,הדסה,הכרמל,מעייני הישועה,"רמב""ם",לניאדו,שערי צדק,אסותא אשדוד,בני ציון,הלל יפה,המרכזי בעמק,יוספטל,שמיר,ברזילי,נצרת,נהריה,זיו צפת,מאיר,מ.ר. צפון (פוריה),וולפסון
400,בני ציון,הדסה,שיבא,וולפסון,רבין ק. השרון,מאיר,שמיר,הכרמל,מעייני הישועה,נהריה,שערי צדק,לניאדו,המרכזי בעמק,קפלן,ברזילי,אסותא אשדוד,סורוקה,הלל יפה,יוספטל,נצרת,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",סוראסקי,רבין ק. בילינסון
401,הכרמל,רבין ק. בילינסון,סורוקה,סוראסקי,הדסה,נצרת,וולפסון,קפלן,שיבא,שמיר,רבין ק. השרון,"רמב""ם",אסותא אשדוד,שערי צדק,מעייני הישועה,בני ציון,המרכזי בעמק,מאיר,לניאדו,יוספטל,ברזילי,זיו צפת,נהריה,מ.ר. צפון (פוריה),הלל יפה
402,אסותא אשדוד,הלל יפה,שיבא,סוראסקי,רבין ק. בילינסון,שמיר,הכרמל,רבין ק. השרון,לניאדו,סורוקה,יוספטל,הדסה,שערי צדק,המרכזי בעמק,ברזילי,מעייני הישועה,וולפסון,בני ציון,נצרת,נהריה,מ.ר. צפון (פוריה),מאיר,זיו צפת,"רמב""ם",קפלן
403,רבין ק. בילינסון,מאיר,שמיר,שיבא,רבין ק. השרון,הלל יפה,סורוקה,קפלן,שערי צדק,בני ציון,אסותא אשדוד,מעייני הישועה,יוספטל,הכרמל,הדסה,המרכזי בעמק,נהריה,לניאדו,סוראסקי,נצרת,מ.ר. צפון (פוריה),ברזילי,זיו צפת,"רמב""ם",וולפסון
404,הדסה,הלל יפה,רבין ק. השרון,רבין ק. בילינסון,שיבא,קפלן,סוראסקי,וולפסון,מאיר,מעייני הישועה,"רמב""ם",אסותא אשדוד,שערי צדק,בני ציון,המרכזי בעמק,הכרמל,לניאדו,נהריה,יוספטל,נצרת,מ.ר. צפון (פוריה),ברזילי,זיו צפת,סורוקה,שמיר
405,שערי צדק,וולפסון,מאיר,סוראסקי,בני ציון,רבין ק. בילינסון,רבין ק. השרון,הדסה,שיבא,קפלן,הכרמל,שמיר,סורוקה,"רמב""ם",הלל יפה,המרכזי בעמק,יוספטל,נהריה,מעייני הישועה,לניאדו,נצרת,ברזילי,זיו צפת,מ.ר. צפון (פוריה),אסותא אשדוד
406,וולפסון,בני ציון,רבין ק. השרון,שיבא,שמיר,קפלן,הדסה,מאיר,יוספטל,אסותא אשדוד,"רמב""ם",לניאדו,מעייני הישועה,הלל יפה,שערי צדק,הכרמל,המרכזי בעמק,סורוקה,ברזילי,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,סוראסקי,רבין ק. בילינסון
407,הכרמל,"רמב""ם",רבין ק. בילינסון,רבין ק. השרון,שמיר,מאיר,שיבא,קפלן,וולפסון,יוספטל,הלל יפה,המרכזי בעמק,מעייני הישועה,הדסה,שערי צדק,בני ציון,סורוקה,אסותא אשדוד,לניאדו,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,סוראסקי
408,שיבא,קפלן,וולפסון,רבין ק. בילינסון,רבין ק. השרון,מאיר,סוראסקי,אסותא אשדוד,הדסה,שמיר,"רמב""ם",הלל יפה,לניאדו,בני ציון,הכרמל,שערי צדק,המרכזי בעמק,יוספטל,מעייני הישועה,מ.ר. צפון (פוריה),ברזילי,נצרת,נהריה,זיו צפת,סורוקה
409,הלל יפה,הכרמל,"רמב""ם",שיבא,סוראסקי,מאיר,קפלן,רבין ק. השרון,שמיר,שערי צדק,המרכזי בעמק,נהריה,בני ציון,אסותא אשדוד,הדסה,יוספטל,סורוקה,לניאדו,מעייני הישועה,ברזילי,נצרת,מ.ר. צפון (פוריה),זיו צפת,וולפסון,רבין ק. בילינסון
410,רבין ק. בילינסון,סוראסקי,בני ציון,הכרמל,קפלן,הדסה,לניאדו,שמיר,רבין ק. השרון,יוספטל,אסותא אשדוד,"רמב""ם",מעייני הישועה,המרכזי בעמק,הלל יפה,סורוקה,שיבא,שערי צדק,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,וולפסון,מאיר
411,מאיר,רבין ק. השרון,בני ציון,סוראסקי,סורוקה,רבין ק. בילינסון,שיבא,שמיר,"רמב""ם",וולפסון,הלל יפה,הדסה,מעייני הישועה,שערי צדק,לניאדו,קפלן,יוספטל,המרכזי בעמק,ברזילי,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,הכרמל,אסותא אשדוד
412,סוראסקי,רבין ק. בילינסון,הלל יפה,מאיר,שיבא,שמיר,אסותא אשדוד,וולפסון,קפלן,סורוקה,"רמב""ם",ברזילי,הכרמל,הדסה,שערי צדק,בני ציון,המרכזי בעמק,לניאדו,נצרת,יוספטל,נהריה,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון,מעייני הישועה
413,וולפסון,שיבא,בני ציון,מאיר,המרכזי בעמק,רבין ק. בילינסון,סוראסקי,קפלן,"רמב""ם",שמיר,אסותא אשדוד,רבין ק. השרון,שערי צדק,סורוקה,לניאדו,הלל יפה,יוספטל,מעייני הישועה,הכרמל,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,הדסה
414,מאיר,רבין ק. השרון,וולפסון,רבין ק. בילינסון,אסותא אשדוד,סוראסקי,שמיר,קפלן,הכרמל,מעייני הישועה,בני ציון,הדסה,שיבא,הלל יפה,"רמב""ם",סורוקה,המרכזי בעמק,יוספטל,שערי צדק,לניאדו,נצרת,נהריה,ברזילי,מ.ר. צפון (פוריה),זיו צפת
415,הלל יפה,שמיר,רבין ק. בילינסון,סוראסקי,וולפסון,שיבא,אסותא אשדוד,שערי צדק,הדסה,קפלן,רבין ק. השרון,"רמב""ם",בני ציון,הכרמל,סורוקה,המרכזי בעמק,יוספטל,מעייני הישועה,מ.ר. צפון (פוריה),לניאדו,נצרת,ברזילי,נהריה,זיו צפת,מאיר
416,מאיר,בני ציון,לניאדו,וולפסון,שיבא,רבין ק. בילינסון,אסותא אשדוד,רבין ק. השרון,הדסה,"רמב""ם",קפלן,הכרמל,המרכזי בעמק,סורוקה,הלל יפה,שערי צדק,יוספטל,מעייני הישועה,ברזילי,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,שמיר,סוראסקי
417,הכרמל,וולפסון,מאיר,סוראסקי,אסותא אשדוד,קפלן,המרכזי בעמק,שמיר,רבין ק. השרון,"רמב""ם",הדסה,הלל יפה,שערי צדק,בני ציון,סורוקה,יוספטל,מעייני הישועה,לניאדו,נצרת,ברזילי,נהריה,זיו צפת,מ.ר. צפון (פוריה),שיבא,רבין ק. בילינסון
418,סוראסקי,"רמב""ם",סורוקה,מאיר,שמיר,וולפסון,אסותא אשדוד,קפלן,רבין ק. השרון,שערי צדק,הלל יפה,הכרמל,שיבא,הדסה,בני ציון,יוספטל,המרכזי בעמק,ברזילי,מעייני הישועה,לניאדו,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,רבין ק. בילינסון
419,סורוקה,אסותא אשדוד,"רמב""ם",סוראסקי,זיו צפת,מאיר,הדסה,רבין ק. השרון,קפלן,שערי צדק,הכרמל,שמיר,נצרת,בני ציון,לניאדו,יוספטל,המרכזי בעמק,וולפסון,מעייני הישועה,הלל יפה,ברזילי,נהריה,מ.ר. צפון (פוריה),שיבא,רבין ק. בילינסון
420,סוראסקי,שמיר,הדסה,רבין ק. בילינסון,מאיר,הכרמל,מעייני הישועה,הלל יפה,רבין ק. השרון,אסותא אשדוד,שערי צדק,"רמב""ם",סורוקה,נצרת,יוספטל,בני ציון,מ.ר. צפון (פוריה),לניאדו,ברזילי,המרכזי בעמק,נהריה,זיו צפת,שיבא,וולפסון,קפלן
421,הכרמל,קפלן,מאיר,סוראסקי,רבין ק. בילינסון,רבין ק. השרון,שיבא,שמיר,אסותא אשדוד,וולפסון,הדסה,"רמב""ם",בני ציון,מעייני הישועה,סורוקה,הלל יפה,המרכזי בעמק,יוספטל,שערי צדק,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת
422,סוראסקי,מאיר,אסותא אשדוד,הלל יפה,שמיר,רבין ק. בילינסון,הכרמל,רבין ק. השרון,וולפסון,הדסה,בני ציון,קפלן,שיבא,סורוקה,"רמב""ם",המרכזי בעמק,שערי צדק,יוספטל,מעייני הישועה,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת
423,סוראסקי,רבין ק. בילינסון,בני ציון,קפלן,שמיר,אסותא אשדוד,הכרמל,"רמב""ם",הדסה,וולפסון,מאיר,מעייני הישועה,הלל יפה,סורוקה,שערי צדק,המרכזי בעמק,יוספטל,לניאדו,ברזילי,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,רבין ק. השרון,שיבא
424,סוראסקי,בני ציון,"רמב""ם",אסותא אשדוד,רבין ק. השרון,שמיר,וולפסון,סורוקה,קפלן,הלל יפה,שיבא,לניאדו,שערי צדק,הדסה,הכרמל,יוספטל,המרכזי בעמק,מעייני הישועה,זיו צפת,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,מאיר,רבין ק. בילינסון
425,קפלן,שיבא,אסותא אשדוד,סוראסקי,הלל יפה,וולפסון,שערי צדק,רבין ק. השרון,מעייני הישועה,בני ציון,הדסה,סורוקה,"רמב""ם",הכרמל,יוספטל,ברזילי,המרכזי בעמק,לניאדו,נצרת,מ.ר. צפון (פוריה),שמיר,נהריה,זיו צפת,רבין ק. בילינסון,מאיר
426,קפלן,רבין ק. בילינסון,אסותא אשדוד,רבין ק. השרון,מאיר,הדסה,לניאדו,שיבא,הכרמל,וולפסון,הלל יפה,שערי צדק,סוראסקי,יוספטל,"רמב""ם",ברזילי,המרכזי בעמק,מעייני הישועה,סורוקה,שמיר,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,בני ציון
427,רבין ק. בילינסון,"רמב""ם",הכרמל,מאיר,הלל יפה,אסותא אשדוד,שמיר,סוראסקי,וולפסון,קפלן,לניאדו,שיבא,בני ציון,הדסה,סורוקה,שערי צדק,המרכזי בעמק,יוספטל,מעייני הישועה,רבין ק. השרון,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת
428,שערי צדק,רבין ק. בילינסון,הדסה,שיבא,קפלן,מאיר,סוראסקי,אסותא אשדוד,שמיר,"רמב""ם",רבין ק. השרון,סורוקה,הלל יפה,מעייני הישועה,בני ציון,הכרמל,המרכזי בעמק,יוספטל,לניאדו,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,זיו צפת,וולפסון
429,סוראסקי,שיבא,סורוקה,רבין ק. בילינסון,רבין ק. השרון,"רמב""ם",וולפסון,קפלן,מאיר,הכרמל,שמיר,אסותא אשדוד,בני ציון,שערי צדק,יוספטל,הלל יפה,מעייני הישועה,המרכזי בעמק,הדסה,לניאדו,נצרת,ברזילי,נהריה,זיו צפת,מ.ר. צפון (פוריה)
430,מאיר,שמיר,רבין ק. בילינסון,הלל יפה,אסותא אשדוד,שיבא,רבין ק. השרון,סוראסקי,"רמב""ם",שערי צדק,וולפסון,סורוקה,קפלן,הדסה,מעייני הישועה,לניאדו,יוספטל,המרכזי בעמק,בני ציון,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,הכרמל
431,קפלן,רבין ק. בילינסון,מאיר,שיבא,סוראסקי,רבין ק. השרון,וולפסון,בני ציון,"רמב""ם",המרכזי בעמק,שערי צדק,הלל יפה,סורוקה,הכרמל,אסותא אשדוד,יוספטל,מעייני הישועה,הדסה,לניאדו,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,שמיר
432,הדסה,סוראסקי,מאיר,וולפסון,רבין ק. השרון,הכרמל,אסותא אשדוד,שמיר,הלל יפה,שערי צדק,"רמב""ם",לניאדו,בני ציון,שיבא,יוספטל,קפלן,המרכזי בעמק,נהריה,מעייני הישועה,נצרת,סורוקה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון
433,רבין ק. בילינסון,הלל יפה,הכרמל,וולפסון,רבין ק. השרון,סוראסקי,קפלן,בני ציון,שיבא,שמיר,סורוקה,שערי צדק,"רמב""ם",יוספטל,הדסה,אסותא אשדוד,המרכזי בעמק,לניאדו,מעייני הישועה,ברזילי,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,מאיר
434,וולפסון,לניאדו,קפלן,שמיר,הלל יפה,רבין ק. בילינסון,רבין ק. השרון,הדסה,מאיר,מעייני הישועה,שערי צדק,אסותא אשדוד,סורוקה,הכרמל,בני ציון,ברזילי,המרכזי בעמק,יוספטל,סוראסקי,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,שיבא,"רמב""ם"
435,שיבא,סוראסקי,אסותא אשדוד,מאיר,רבין ק. בילינסון,שמיר,וולפסון,רבין ק. השרון,הכרמל,המרכזי בעמק,מעייני הישועה,קפלן,הדסה,בני ציון,"רמב""ם",שערי צדק,סורוקה,יוספטל,נצרת,לניאדו,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,הלל יפה
436,מ.ר. צפון (פוריה),הדסה,אסותא אשדוד,רבין ק. בילינסון,קפלן,סוראסקי,"רמב""ם",וולפסון,שערי צדק,המרכזי בעמק,הכרמל,שיבא,שמיר,בני ציון,סורוקה,מעייני הישועה,יוספטל,לניאדו,נצרת,נהריה,ברזילי,זיו צפת,מאיר,רבין ק. השרון,הלל יפה
437,שערי צדק,מאיר,וולפסון,רבין ק. בילינסון,שיבא,"רמב""ם",קפלן,רבין ק. השרון,שמיר,סוראסקי,הלל יפה,אסותא אשדוד,בני ציון,מעייני הישועה,הדסה,סורוקה,המרכזי בעמק,הכרמל,יוספטל,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת
438,רבין ק. בילינסון,"רמב""ם",שיבא,בני ציון,וולפסון,מאיר,רבין ק. השרון,שמיר,שערי צדק,סוראסקי,קפלן,מעייני הישועה,הדסה,סורוקה,הכרמל,יוספטל,ברזילי,המרכזי בעמק,הלל יפה,לניאדו,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,אסותא אשדוד
439,הכרמל,הלל יפה,אסותא אשדוד,מאיר,"רמב""ם",וולפסון,רבין ק. בילינסון,שיבא,שמיר,יוספטל,שערי צדק,קפלן,בני ציון,סורוקה,הדסה,המרכזי בעמק,מעייני הישועה,לניאדו,נצרת,מ.ר. צפון (פוריה),ברזילי,נהריה,זיו צפת,רבין ק. השרון,סוראסקי
440,סורוקה,וולפסון,לניאדו,הכרמל,סוראסקי,אסותא אשדוד,מעייני הישועה,מאיר,רבין ק. בילינסון,רבין ק. השרון,"רמב""ם",שמיר,שיבא,שערי צדק,הדסה,בני ציון,המרכזי בעמק,יוספטל,ברזילי,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,הלל יפה,קפלן
441,רבין ק. בילינסון,שיבא,מאיר,סוראסקי,הלל יפה,אסותא אשדוד,שמיר,רבין ק. השרון,"רמב""ם",סורוקה,ברזילי,המרכזי בעמק,הדסה,שערי צדק,בני ציון,מעייני הישועה,לניאדו,יוספטל,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,הכרמל,וולפסון,קפלן
442,סוראסקי,יוספטל,מאיר,רבין ק. בילינסון,רבין ק. השרון,שמיר,סורוקה,הלל יפה,"רמב""ם",קפלן,שיבא,שערי צדק,מעייני הישועה,הדסה,בני ציון,אסותא אשדוד,המרכזי בעמק,הכרמל,ברזילי,לניאדו,נצרת,זיו צפת,נהריה,מ.ר. צפון (פוריה),וולפסון
443,שערי צדק,וולפסון,הדסה,מאיר,סוראסקי,"רמב""ם",הכרמל,שיבא,קפלן,הלל יפה,שמיר,אסותא אשדוד,רבין ק. השרון,מעייני הישועה,בני ציון,סורוקה,המרכזי בעמק,יוספטל,ברזילי,לניאדו,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון
444,שערי צדק,קפלן,רבין ק. השרון,שמיר,שיבא,הכרמל,וולפסון,"רמב""ם",הדסה,אסותא אשדוד,סוראסקי,לניאדו,המרכזי בעמק,הלל יפה,מעייני הישועה,יוספטל,בני ציון,סורוקה,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון,מאיר
445,הכרמל,רבין ק. בילינסון,אסותא אשדוד,שערי צדק,נהריה,סוראסקי,וולפסון,סורוקה,"רמב""ם",הלל יפה,הדסה,קפלן,המרכזי בעמק,בני ציון,מעייני הישועה,יוספטל,שמיר,זיו צפת,לניאדו,ברזילי,נצרת,מ.ר. צפון (פוריה),מאיר,רבין ק. השרון,שיבא
446,שערי צדק,אסותא אשדוד,בני ציון,מאיר,רבין ק. בילינסון,"רמב""ם",שמיר,הדסה,הלל יפה,הכרמל,וולפסון,לניאדו,סורוקה,נצרת,המרכזי בעמק,מעייני הישועה,קפלן,יוספטל,ברזילי,זיו צפת,נהריה,מ.ר. צפון (פוריה),שיבא,רבין ק. השרון,סוראסקי
447,שיבא,הדסה,רבין ק. בילינסון,סוראסקי,רבין ק. השרון,קפלן,שמיר,שערי צדק,אסותא אשדוד,"רמב""ם",הלל יפה,סורוקה,המרכזי בעמק,לניאדו,בני ציון,יוספטל,הכרמל,מעייני הישועה,ברזילי,זיו צפת,נצרת,מ.ר. צפון (פוריה),נהריה,מאיר,וולפסון
448,הדסה,רבין ק. השרון,קפלן,וולפסון,רבין ק. בילינסון,סוראסקי,מאיר,אסותא אשדוד,שערי צדק,מעייני הישועה,הלל יפה,ברזילי,שמיר,הכרמל,סורוקה,המרכזי בעמק,בני ציון,יוספטל,לניאדו,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",שיבא
449,סורוקה,רבין ק. בילינסון,מעייני הישועה,בני ציון,מאיר,רבין ק. השרון,סוראסקי,שמיר,וולפסון,הדסה,קפלן,הלל יפה,הכרמל,אסותא אשדוד,המרכזי בעמק,יוספטל,לניאדו,"רמב""ם",נצרת,נהריה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,שערי צדק,שיבא
450,רבין ק. בילינסון,שיבא,אסותא אשדוד,וולפסון,"רמב""ם",שמיר,רבין ק. השרון,הכרמל,מעייני הישועה,קפלן,יוספטל,סורוקה,לניאדו,שערי צדק,הדסה,בני ציון,המרכזי בעמק,ברזילי,מאיר,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,סוראסקי,הלל יפה
